N303,5 AVE-53 ST,40.753821,-73.981963
N304,5 AVE-53 ST,40.753821,-73.981963
A006,5 AVE-59 ST,40.753821,-73.981963
A007,5 AVE-59 ST,40.753821,-73.981963
R501,5 AVE-BRYANT PK,40.760167,-73.975224
R500,5 AVE-BRYANT PK,40.760167,-73.975224
R154,50 ST,40.63626,-73.994791
R155,50 ST,40.63626,-73.994791
N057,50 ST,40.63626,-73.994791
N056,50 ST,40.63626,-73.994791
E004,50 ST,40.63626,-73.994791
R243,51 ST,40.757107,-73.97192
R242,51 ST,40.757107,-73.97192
R242A,51 ST,40.757107,-73.97192
C020,53 ST,40.645069,-74.014034
E005,55 ST,40.631435,-73.995476
N600,57 ST,40.764664,-73.980658
A010,57 ST,40.764664,-73.980658
A011,57 ST,40.764664,-73.980658
R244,59 ST,40.641362,-74.017881
R244A,59 ST,40.641362,-74.017881
R245,59 ST,40.641362,-74.017881
R245A,59 ST,40.641362,-74.017881
C021,59 ST,40.641362,-74.017881
C022,59 ST,40.641362,-74.017881
R158,59 ST-COLUMBUS,40.768247,-73.981929
N049,59 ST-COLUMBUS,40.768247,-73.981929
N051,59 ST-COLUMBUS,40.768247,-73.981929
H003,6 AVE,40.737335,-73.996786
N330B,63 DR-REGO PARK,40.729846,-73.861604
N330C,63 DR-REGO PARK,40.729846,-73.861604
N322,65 ST,40.749669,-73.898453
R160A,66 ST-LINCOLN,40.77344,-73.982209
R159,66 ST-LINCOLN,40.77344,-73.982209
R160,66 ST-LINCOLN,40.77344,-73.982209
N331,67 AVE,40.726523,-73.852719
N332,67 AVE,40.726523,-73.852719
R246,68ST-HUNTER COL,40.768141,-73.96387
N539A,7 AVE,40.666271,-73.980305
B004,7 AVE,40.666271,-73.980305
N301,7 AVE,40.666271,-73.980305
N300,7 AVE,40.666271,-73.980305
E009,71 ST,40.619589,-73.998864
N046,72 ST,40.778453,-73.98197
R161B,72 ST,40.778453,-73.98197
R161A,72 ST,40.778453,-73.98197
N334B,75 AVE,40.718331,-73.837324
R248,77 ST,40.629742,-74.02551
R247,77 ST,40.629742,-74.02551
C024,77 ST,40.629742,-74.02551
R162,79 ST,40.613501,-74.00061
R163,79 ST,40.613501,-74.00061
E011,79 ST,40.613501,-74.00061
H001,8 AVE,40.739777,-74.002578
D002,8 AVE,40.739777,-74.002578
A038,8 ST,40.730328,-73.992629
A039,8 ST,40.730328,-73.992629
N044,81 ST-MUSEUM,40.781433,-73.972143
N045,81 ST-MUSEUM,40.781433,-73.972143
R526,82 ST-JACKSON H,40.747659,-73.883697
R164,86 ST,40.779492,-73.955589
R165,86 ST,40.779492,-73.955589
R166,86 ST,40.779492,-73.955589
R250,86 ST,40.779492,-73.955589
R249,86 ST,40.779492,-73.955589
N043,86 ST,40.779492,-73.955589
N042,86 ST,40.779492,-73.955589
C025,86 ST,40.779492,-73.955589
C026,86 ST,40.779492,-73.955589
D016,86 ST,40.779492,-73.955589
E001,9 AVE,40.646292,-73.994324
C012,9 ST,40.670847,-73.988302
R527,90 ST-ELMHURST,40.748408,-73.876613
R251,96 ST,40.791646,-73.964699
R168A,96 ST,40.791646,-73.964699
R168,96 ST,40.791646,-73.964699
N040,96 ST,40.791646,-73.964699
N039,96 ST,40.791646,-73.964699
PTH10,9 ST,40.670847,-73.988302
J020,ALABAMA AVE,40.676992,-73.898654
R329,ALLERTON AVE,40.865462,-73.867352
N181A,AQUEDUCT TRACK,40.672131,-73.835812
N181,AQUEDUCT-N CNDT,40.668234,-73.834058
R219,ASTOR PLACE,40.730054,-73.99107
R220,ASTOR PLACE,40.730054,-73.99107
R610,ATLANTIC AVE,40.675345,-73.903097
B001,ATLANTIC AVE,40.675345,-73.903097
B002,ATLANTIC AVE,40.675345,-73.903097
H035,ATLANTIC AVE,40.675345,-73.903097
B020,AVE H,40.62927,-73.961639
N551,AVE I,40.625322,-73.976127
B021,AVE J,40.625039,-73.960803
B022,AVE M,40.617618,-73.959399
N555,AVE N,40.61514,-73.974197
N554,AVE N,40.61514,-73.974197
N556,AVE P,40.608944,-73.973022
B025,AVE U,40.597473,-73.979137
D015,AVE U,40.597473,-73.979137
N559,AVE U,40.597473,-73.979137
N561,AVE X,40.58962,-73.97425
E016,BAY 50 ST,40.588841,-73.983765
E014,BAY PARKWAY,40.601875,-73.993728
D010,BAY PKY-22 AVE,40.611815,-73.981848
D011,BAY PKY-22 AVE,40.611815,-73.981848
C023,BAY RIDGE AVE,40.634967,-74.023377
R729,BAYCHESTER AVE,40.878663,-73.838591
N186,BEACH 105 ST,40.583209,-73.827559
N195,BEACH 25 ST,40.600066,-73.761353
N194,BEACH 36 ST,40.595398,-73.768175
N193,BEACH 44 ST,40.592943,-73.776013
N192,BEACH 60 ST,40.592374,-73.788522
N191,BEACH 67 ST,40.590927,-73.796924
N184,BEACH 90 ST,40.588034,-73.813641
N185,BEACH 98 ST,40.585307,-73.820558
